ayush_term,icd_code,icd_title
Aadhyavata,DA21.3,Severe colicky abdominal pain
Abhishyanda,9D02,Allergic conjunctivitis
Adhmana,DA21.1,Functional gas-related abdominal pain
Adhmana (abdominal distention),DD94.0,Functional abdominal distention/dyspepsia
Adhoga Amlapitta,DA25.2,Acid dyspepsia
Adhoga Raktapitta,MB20.2,Lower GI bleeding / hematochezia
Adhoga Shwasa,CB21,Shortness of breath
Agnimandya,DA61.1,Functional hypochlorhydria
Ajeerna,DA41.0,Functional dyspepsia
Ajirna,DA41.0,Functional dyspepsia
Ajirna (Ajeerna),DA41.0,Functional dyspepsia
Ajirna Shoola,DD90.1,Generalized abdominal pain
Akshepa Vrana,MA20.2,Traumatic wound
Akshepaka,8D40,Seizure disorder
Akshi Daha,9A60.1,Eye irritation
Akshi Kandu,9A40.3,Allergic conjunctivitis
Akshi Kandu-Shotha,9A40.7,Inflammatory allergic conjunctivitis
Akshi Paaka,9A40.4,Eye redness
Akshi Paka-Jwara,9A40.5,Acute conjunctivitis
Akshi Raga,9A40.6,Bloodshot eyes
Akshi Roga,9D00,Conjunctivitis
Akshi Shopha,9A40.2,Conjunctival edema
Akshi Shosha,9B71,Dry eye syndrome
Alasya,5C70,Fatigue syndrome
Alpa Mutrata,MB40.0,Oliguria
Alpabhojana,5B60.0,Under-nutrition
Amavata,FA20,Rheumatoid arthritis
Amlapitta,DA42.0,Gastro-esophageal reflux disease
Amlodgara,DA20.1,Acidic belching
Anaha,ME82.2,Functional constipation
Anga-Shaithilya,8E01.5,Localized muscle weakness
Angamarda,8E01.1,Generalized body ache
Anidra,7B00,Insomnia
Annadrava Shoola,DA45,Acute indigestion-type abdominal pain
Annannatya Jwara,DA41.1,Post-digestive fever
Antarvidradhi,1F90.1,Deep internal abscess
Antrakupita,MG60.0,Intestinal obstruction
Antravriddhi,DA22,Gastrointestinal distension NOS
Antravruddhi,DA22.1,Intestinal bloating
Apasmar,8A60,Epilepsy unspecified
Apasmara,8D40,Epilepsy
Apatanaka,8C40,Epilepsy
Ardhakapala,8A80,Migraine without aura
Ardhavabhedaka,8A80,Migraine without aura
Ardhavabhedaka Pratishaya Overlap,8A80,Migraine without aura (related headache)
Ardita,8B00,Focal or segmental dystonia
Arma,9B80,Pterygium
Arsha,MA06,Hemorrhoids
Arsha (Shushka),MA01.1,Non-bleeding hemorrhoids
Arshas,MA06.1,Haemorrhoids
Artava Kshaya,GA15,Female anovulation
Artava-dushti,GA33,Menstrual disorders NOS
Artava-kshaya,GA34,Oligomenorrhea
Artavakshaya,QA21,Secondary amenorrhea
Ashmari,MB64.2,Calculus of kidney
Ashmari-janya Mutraghata,MB64,Urinary obstruction due to stone
Asrigdara,GA32,Menorrhagia
Asrugdhara,QA20,Excessive menstrual bleeding
Asthivata,FA20,Osteopenia
Atatva Abhinivesha,6A43,Obsessive beliefs / delusional pattern
Atibhojana,5B40.1,Overnutrition
Atinidra,7B01,Hypersomnolence disorder
Atisara,DA61,Acute diarrhea
Atopa,DA54.0,Abdominal bloating
Atyartava,QA20,Menorrhagia
Atyartava Jwara,1A00.6,Severe recurrent fever
Avasada,6A70.1,Depressive episode
Avipaka,DA41.1,Indigestion
Avrana Prameha,5A14,Diabetic neuropathy
Baddha Guda,DA24,Constipation due to obstruction
Bahu Shosha,8B20,Muscle wasting
Bahudosha Prameha,5A11.1,Uncontrolled diabetes mellitus
Bahumutrata,5A10.1,Polyuria
Bahya Vidradhi,1F90.0,Superficial abscess
Balagraha,MB40,Childhood behavioral disorders
Balakshaya,5B55,General wasting disorder
Bandhyatva,QA80,Female infertility
Basti Roga,MB40,Urinary disorders (unspecified)
Bhagandara,MA06.2,Anal fistula
Bhasmaka Roga,5B60.0,Hyperthyroidism
Bhaya,6B02,Phobic anxiety
Bhrama,8A02,Vertigo
Bhrama Shoola,8A02,Vertigo
Chardi,DA05,Nausea and vomiting
Charma Kushtha,EA90.0,Psoriasis vulgaris
Charma Vikara,EA8Z,Skin disease unspecified
Charmadala,EA80.1,Eczema
Charmadala (chronic eczema),1B51,Atopic dermatitis
Chhardi,DA22,Vomiting
Chhardi Vega,DA05.0,Severe vomiting
Chittodvega,6B00,Generalized anxiety disorder (GAD)
Dadru,1F20,Dermatophytosis
Dadru (ringworm/fungal skin),1F32,Tinea corporis
Daha Jwara,1F00.3,Fever with flushing/burning
Danta Kshaya,FA01.3,Tooth decay
Danta Mula Roga,DA07.0,Periodontal disease
Danta Mula Shotha,DA07,Gingivitis
Danta Shotha,FA01.2,Gingival inflammation
Danta Vikara (Yellow Teeth),FA11,Tooth discoloration
Dantaharsha,DA08,Dental sensitivity
Dantashoola,FA01.1,Dental pain
Dantaveshta,FA01.4,Bruxism
Dhatukshaya,5C5Z,Malnutrition unspecified
Dhenkusha,EA90,Abdominal muscle spasm
Dourbalya,5B60,General fatigue
Drishti Manda,9D00.0,Blurred vision
Drishti Mandya,9B80,Blurred vision
Dushta Pratishyaya,CA01.3,Chronic sinusitis
Dushta Vrana,EA31,Chronic ulcer
Dusta Pratishaya,CA02,Chronic rhinosinusitis
Dusta Vrana,NE81,Chronic ulcer
Ekanga Roga,8B1Z,Monoplegia (unspecified)
Ekanga Vata,8B24,Monoplegia
Gala Shoola,DA01.4,Sore throat
Gala Shosha,CA3Z,Throat disorder unspecified
Galaganda,5C73.0,Thyroid enlargement (non-toxic goiter)
Galagraha,CA33,Throat obstruction
Galashotha,DA01.3,Acute tonsillitis
Gambhira Hikka,CA20.1,Severe persistent hiccups
Gambhira Vatarakta,FA80.1,Chronic deep gout
Ganda Mala,1B52,Tuberculous lymphadenitis
Garavisha,T60.9,Toxic effect of unspecified pesticide
Garbha-patanam,JB12,Spontaneous abortion
Garbhashosha,JB11,Intrauterine growth restriction
Garbhasrava,JB10,Threatened abortion
Ghrana Daha,CA21.7,Nasal burning
Ghrana Nasha,CA21.6,Loss of smell
Ghrita Vrana,NE81,Chronic wound
Grahani,DA63,Malabsorption syndrome
Grahani Dosha,DA61.0,Celiac-like malabsorption
Grahani Roga,DA41.0,Functional dyspepsia
Grahanidosha,DA61,Malabsorption syndrome
Gridhrasi,8B12,Sciatica
Grudhrasi,ME84.30,Sciatica
Guda Shoola,DA21,Anal/rectal pain
Gudabhramsha,MA06.0,Rectal prolapse
Gudabhransha,MA07,Rectal prolapse
Gudavidradhi,MA05.0,Perianal abscess
Gulma,DD01,Abdominal lump NOS
Gulma (palpable abdominal mass/herniation),DD44,Abdominal hernia / palpable abdominal mass
Guru Gatrata,8E01.3,General heaviness
Halimaka,DB91,Severe jaundice with anemia
Hikka,CA28,Hiccup
Hrid Shoola,BA40,Angina pectoris (if classical ischemic chest pain)
Hrid Shotha,BA40.1,Cardiac edema
Hridaya Shoola,BA40,Chest pain
Hridroga,BD20,Ischemic heart disease
Hridshula,BA41,Cardiac chest pain / angina
Hrillasa,DA61.3,Queasiness
Hritshoola,BD2Z,Chest pain unspecified
Indralupta,LD80,Alopecia areata
Jalodara,DB61,Ascites
Jihva Kandu,DA05.4,Itching of tongue
Jihva Paaka,DA05.3,Tongue ulcer
Jihva Shotha,DA05.2,Glossitis
Jvara,1A00.0,Acute febrile illness
Jwara,MG30,Fever (unspecified)
Jwara (Samanya),1F00.0,Acute febrile illness
Jwara (Viral),1A07.0,Acute viral infection
Jwara (viral/bacterial fever syndromes),1A00.0,Acute febrile illness
Jwara-apasmara Overlap,8A63,Febrile seizures
Kacha,9D71,Immature cataract
Kaksha,1F41,Herpes zoster
Kamala,DB52.0,Acute viral hepatitis A
Kamala (icterus/jaundice),DB60,Jaundice / hepatic disorder (etiology-specific)
Kampa,8A20.1,Tremors
Kampa Vata,8C40,Parkinsonism unspecified
Kampavata,8A02.3,Parkinsonian tremor
Kandu,EA80.1,Pruritus
Kantha Kandu,DA01.5,Throat itching
Kantha Paaka,DA01.7,Throat ulcer
Kantha Shosha,DA01.6,Dry throat
Kantha Shotha,CA30,Pharyngitis
Kanthaghna Roga,CA31,Laryngitis
Kantharoga (Talu Shotha),DA01.2,Pharyngitis
Kapha Pratishyaya,CA21.3,Allergic rhinitis
Kapha Shoola,DA09.4,Congestive abdominal pain
Kapha Shotha,MG30.4,Fluid retention swelling
Kapha Vriddhi,CA20,Bronchial obstruction
Kaphaja Anaha,DA15.1,Obstructive fecal impaction
Kaphaja Anidra,7B00.3,Fragmented oversleeping pattern
Kaphaja Apasmara,8E40.2,Focal epilepsy
Kaphaja Arsha,MA02.2,Prolapsed hemorrhoids
Kaphaja Artava-dushti,GA33.1,Thick menstrual discharge
Kaphaja Atisara,DA10.2,Mucous diarrhea
Kaphaja Avasada,6A70.2,Atypical depression (lethargy type)
Kaphaja Chhardi,DA22.2,Mucous vomiting
Kaphaja Galaganda,5C73.2,Colloid goiter
Kaphaja Grahani,DA41.3,IBS with heaviness & sluggish digestion
Kaphaja Gulma,DD01.2,Soft congestive mass
Kaphaja Hikka,CA20.3,Congestive hiccups
Kaphaja Hridroga,BA80.3,Congestive cardiac disorder
Kaphaja Jwara,MG30.2,Low-grade fever
Kaphaja Kamala,DB10.2,Chronic cholestatic jaundice
Kaphaja Kasa,CA23.2,Productive cough
Kaphaja Kushtha,EA80.1,Chronic dermatitis
Kaphaja Mutraghata,MB21.2,Obstructive urinary retention
Kaphaja Mutrakrichra,MB20.2,Obstructive difficult urination
Kaphaja Pandu,3A70.2,Anemia with metabolic sluggishness
